mode: atomic
webook/internal/repository/code.go:25.62,29.2 1 0
webook/internal/service/ranking.go:87.145,88.9 1 0
webook/internal/service/ranking.go:91.2,92.33 2 0
webook/internal/service/ranking.go:92.33,94.17 2 0
webook/internal/service/ranking.go:94.17,95.9 1 0
webook/internal/service/ranking.go:97.3,97.23 1 0
webook/internal/service/ranking.go:99.2,99.17 1 0
webook/internal/service/user.go:28.65,32.2 1 0
webook/internal/service/user.go:34.75,37.16 2 0
webook/internal/service/user.go:37.16,39.3 1 0
webook/internal/service/user.go:40.2,41.32 2 0
webook/internal/service/user.go:43.98,45.39 2 0
webook/internal/service/user.go:45.39,47.3 1 0
webook/internal/service/user.go:48.2,48.16 1 0
webook/internal/service/user.go:48.16,50.3 1 0
webook/internal/service/user.go:51.2,52.16 2 0
webook/internal/service/user.go:52.16,54.3 1 0
webook/internal/service/user.go:55.2,55.15 1 0
webook/internal/service/user.go:57.86,59.2 1 0
webook/internal/service/user.go:60.90,62.2 1 0
webook/internal/service/user.go:64.95,66.39 2 0
webook/internal/service/user.go:66.39,68.3 1 0
webook/internal/service/user.go:69.2,73.16 3 0
webook/internal/service/user.go:73.16,75.3 1 0
webook/internal/service/user.go:77.2,79.16 2 0
webook/internal/service/user.go:79.16,81.3 1 0
webook/internal/service/user.go:82.2,82.15 1 0
webook/internal/service/user.go:85.119,87.39 2 0
webook/internal/service/user.go:87.39,89.3 1 0
webook/internal/service/user.go:90.2,97.16 3 0
webook/internal/service/user.go:97.16,99.3 1 0
webook/internal/service/user.go:101.2,103.16 2 0
webook/internal/service/user.go:103.16,105.3 1 0
webook/internal/service/user.go:106.2,106.15 1 0
